"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"J5";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J6";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J7";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J8";"4DB-P108-04";"4DB-P108-04";"SHDR4W132P0X826_1X4_3467X1270X";"Conn Barrier Strip 4 POS 8.26mm Solder ST Thru-Hole Package";"";"Conn Barrier Strip 4 POS 8.26mm Solder ST Thru-Hole Package";"13.462mm";"TE Connectivity";"4DB-P108-04";"";"571-214376676";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/4DB-P108-04?qs=JZD3Rbs9XzlqoR88q1UQbw%3D%3D";"";"";"";"";
"J9";"282834-3";"282834-3";"2828343";"Connector pcb 3 way 2.54mm Termi-Block";"";"Connector pcb 3 way 2.54mm Termi-Block";"10mm";"TE Connectivity";"282834-3";"";"571-2828343";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-3?qs=A%252Bip%252BNCYi6M69kAjqV38yA%3D%3D";"";"";"";"";
"J11";"1-770166-0";"1-770166-0";"17701660";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"14.25mm";"TE Connectivity";"1-770166-0";"";"571-1-770166-0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/1-770166-0?qs=m8myXnDJXpW%252BZqFFniy0cw%3D%3D";"";"";"";"";
"J12";"455-1750-1-ND";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"XXX-00000";"";"455-1750-1-ND";
"L1";"4.7μH_SHIELDED_INDUCTOR";"4.7μH_SHIELDED_INDUCTOR";"1008(2520)";"4.7uH Inductor";"";"";"";"";"";"";"";"";"";"NDUC-14880";"";"";
"R1";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-08272";"";"2.2k";
"R2";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-08272";"";"2.2k";
"R4";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R5";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R6";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";
"R10";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"5.1k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"5.1k";
"R20";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R21";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R22";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R23";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R24";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R25";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R26";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R27";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R28";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R29";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R30";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R31";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R32";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R33";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R34";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R35";"22k";"22KOHM-0603-1/10W-1%";"0603";"22kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07853";"";"22k";
"R36";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R37";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R38";"100";"100OHM-0805-1/10W-5%-400V";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"100";
"R39";"100";"100OHM-0805-1/10W-5%-400V";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"100";
"R40";"120";"120OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"120";
"RST";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"RV1";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"RV2";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"RV3";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"RV4";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"U1";"AP63203WU-7";"AP63203WU-7";"SOIC_05WU-7_DIO";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"AP63203WU-7";"Diodes Inc";"";"";"";"";"";"";
"U2";"ATTINY426-MU";"ATTINY426-MU";"QFN40P300X300X90-21N";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"0.9mm";"Microchip";"ATTINY426-MU";"";"579-ATTINY426-MU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATTINY426-MU?qs=pUKx8fyJudAatJqFKBSQfg%3D%3D";"";"";"";"";
"U4";"ESP32-S3-WROOM-1U-N16R8";"ESP32-S3-WROOM-1U-N16R8";"ESP32S3WROOM1UN16R8";"WiFi Modules - 802.11 [Engineering Samples] SMD Module, ESP32-S3R8, 8 MB Octal PSRAM Die, 16 MB Quad SPI Flash, IPEX Antenna Connector";"";"WiFi Modules - 802.11 [Engineering Samples] SMD Module, ESP32-S3R8, 8 MB Octal PSRAM Die, 16 MB Quad SPI Flash, IPEX Antenna Connector";"3.35mm";"Espressif Systems";"ESP32-S3-WROOM-1U-N16R8";"";"356-ESP32S3WM1UN16R8";"https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1U-N16R8?qs=Li%252BoUPsLEns6V0Pr5KRJtw%3D%3D";"";"";"";"";
"U5";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U6";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U7";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U8";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U9";"SP3485CN-L";"SP3485CN-L";"SOIC127P600X175-8N";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"1.75mm";"EXAR";"SP3485CN-L";"";"701-SP3485CN-L";"https://www.mouser.com/Search/Refine.aspx?Keyword=701-SP3485CN-L";"";"";"";"";
"U11";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U12";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U13";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U14";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U16";"CPC1966Y";"CPC1966Y";"CPC1966Y";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"10mm";"LITTELFUSE";"CPC1966Y";"";"849-CPC1966Y";"https://www.mouser.co.uk/ProductDetail/IXYS-Integrated-Circuits/CPC1966Y?qs=8uBHJDVwVqxNfAOiNv29Iw%3D%3D";"";"";"";"";
"U17";"CPC1966Y";"CPC1966Y";"CPC1966Y";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"10mm";"LITTELFUSE";"CPC1966Y";"";"849-CPC1966Y";"https://www.mouser.co.uk/ProductDetail/IXYS-Integrated-Circuits/CPC1966Y?qs=8uBHJDVwVqxNfAOiNv29Iw%3D%3D";"";"";"";"";
"UART";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"2";"";"";"";
"X1";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"FFC2B35-18-G-EYE_SPI";"FFC2B35-18-G-EYE_SPI";"FFC2B3518G";"FFC & FPC Connectors .5mm SideEntry Flat Flex Cbl Conn 18P Au";"";"FFC & FPC Connectors .5mm SideEntry Flat Flex Cbl Conn 18P Au";"2.2mm";"GCT (GLOBAL CONNECTOR TECHNOLOGY)";"FFC2B35-18-G";"";"640-FFC2B35-18-G";"https://www.mouser.co.uk/ProductDetail/GCT/FFC2B35-18-G?qs=Li%252BoUPsLEntRHHb6c10PFg%3D%3D";"";"";"";"";
